time,open,high,low,close,volume,ticker
2021-12-23,75630,75630,74840,75030,2147800,VNM
2021-12-24,75030,76170,75030,76170,1148400,VNM
2021-12-27,76170,76530,75900,76260,1138300,VNM
2021-12-28,76350,76350,75460,75730,1544400,VNM
2021-12-29,75730,75820,75370,75460,945400,VNM
2021-12-30,75560,75820,75370,75560,893100,VNM
2021-12-31,75730,77510,75560,76530,2325100,VNM
2022-01-04,77240,77410,76790,76790,1885600,VNM
2022-01-05,76880,77050,76170,76350,3124600,VNM
2022-01-06,76260,76260,75560,75630,2848200,VNM
2022-01-07,75560,75820,75290,75460,2553900,VNM
2022-01-10,76370,76550,75200,75370,1735600,VNM
2022-01-11,75290,75630,75200,75370,1829000,VNM
2022-01-12,75460,75460,74480,74830,2183600,VNM
2022-01-13,75100,75370,74650,74830,1711600,VNM
2022-01-14,74830,76640,74480,76270,2516600,VNM
2022-01-17,76550,76550,74650,74650,2100400,VNM
2022-01-18,74650,75200,74380,75100,2100400,VNM
2022-01-19,74650,75200,74480,75100,1764900,VNM
2022-01-20,74740,75020,74650,74740,1488400,VNM
2022-01-21,74740,75020,74290,74380,1576400,VNM
2022-01-24,74380,74480,72940,72940,2222200,VNM
2022-01-25,72490,72940,71240,71330,3758600,VNM
2022-01-26,71410,72490,71410,71770,1452100,VNM
2022-01-27,72140,75100,72140,74830,2039000,VNM
2022-01-28,74740,75830,74560,74830,2257400,VNM
2022-02-07,74930,75630,74650,75200,1324200,VNM
2022-02-08,75100,75200,73850,73850,2708900,VNM
2022-02-09,73850,75370,73850,74560,1799300,VNM
2022-02-10,74560,75020,74100,74480,1612500,VNM
2022-02-11,74290,74380,73770,73850,1624600,VNM
2022-02-14,73400,73850,72940,73030,2971800,VNM
2022-02-15,73030,73400,72940,73120,1465300,VNM
2022-02-16,73120,73210,72320,72400,2825100,VNM
2022-02-17,72490,73120,72400,72760,1787700,VNM
2022-02-18,72140,72760,72140,72590,1808100,VNM
2022-02-21,72860,73490,72860,72940,1280600,VNM
2022-02-22,72860,72940,71770,72040,3204500,VNM
2022-02-23,72040,72490,71870,72040,2200300,VNM
2022-02-24,72040,72040,70700,70790,2723500,VNM
2022-02-25,71150,71590,71060,71060,1347700,VNM
2022-02-28,71060,71150,70050,70600,2258900,VNM
2022-03-01,70600,71500,70420,71330,1273100,VNM
2022-03-02,71330,71330,70250,70700,2037100,VNM
2022-03-03,70860,71150,70420,70600,1486600,VNM
2022-03-04,70600,70600,70050,70150,2511600,VNM
2022-03-07,70150,70150,69080,69170,3511900,VNM
2022-03-08,68700,68890,68440,68530,2383000,VNM
2022-03-09,68440,69170,67550,67630,3003700,VNM
2022-03-10,68440,70150,68440,69430,2971800,VNM
2022-03-11,69520,70700,69430,70250,2322900,VNM
2022-03-14,70250,70250,69240,69520,1654700,VNM
2022-03-15,69340,69790,68700,69520,1482600,VNM
2022-03-16,69520,70250,69340,69620,1850400,VNM
2022-03-17,69890,70050,68790,68790,1354400,VNM
2022-03-18,68980,69340,68440,68440,4233000,VNM
2022-03-21,68440,70150,68440,69890,1884100,VNM
2022-03-22,70150,70150,69170,69240,2390200,VNM
2022-03-23,69170,69340,68360,68530,3226000,VNM
2022-03-24,68440,68530,67710,68090,3389800,VNM
2022-03-25,68090,68260,67630,67710,2699500,VNM
2022-03-28,67810,68090,66100,66100,4038700,VNM
2022-03-29,66180,67990,66180,67990,2118000,VNM
2022-03-30,67990,68980,67630,68630,3413800,VNM
2022-03-31,68630,72940,68440,72860,9645800,VNM
2022-04-01,72940,74480,72320,73570,6112000,VNM
2022-04-04,73850,74290,73400,74020,3808700,VNM
2022-04-05,73670,73670,72400,72400,2202100,VNM
2022-04-06,72040,73120,71240,71410,4306700,VNM
2022-04-07,71950,72040,70700,70700,1760300,VNM
2022-04-08,70700,71240,69620,69620,2738300,VNM
2022-04-12,69620,70050,68890,69170,1776300,VNM
2022-04-13,69170,70700,69080,69520,2118800,VNM
2022-04-14,69790,70250,68700,68700,1810200,VNM
2022-04-15,68890,69890,68440,68890,1362400,VNM
2022-04-18,68890,70150,68790,69340,2564300,VNM
2022-04-19,69430,69970,68440,68440,1670200,VNM
2022-04-20,68440,69080,68090,68090,1931100,VNM
2022-04-21,67810,68890,67550,67550,4615600,VNM
2022-04-22,68170,68890,67990,68360,2796700,VNM
2022-04-25,68440,68700,65740,66180,2659800,VNM
2022-04-26,66180,68440,63840,68360,3883000,VNM
2022-04-27,67180,68260,66370,67550,1826000,VNM
2022-04-28,67450,67450,66460,66910,1911000,VNM
2022-04-29,67010,67550,66640,66820,1630100,VNM
2022-05-04,66820,67010,65290,65290,1763900,VNM
2022-05-05,65930,65930,64390,64930,1548200,VNM
2022-05-06,64310,64480,62590,63220,2109800,VNM
2022-05-09,63220,64390,62680,63030,2392100,VNM
2022-05-10,63030,64739,63030,63570,3106500,VNM
2022-05-11,63570,64030,62590,62590,1793700,VNM
2022-05-12,62870,62870,59890,59890,3189100,VNM
2022-05-13,60330,61060,59340,59520,4590600,VNM
2022-05-16,59970,60860,59160,59250,1977800,VNM
2022-05-17,59080,63030,58710,63030,2105100,VNM
2022-05-18,63030,63480,62590,63300,1983200,VNM
2022-05-19,62590,63030,62140,62140,1449400,VNM
2022-05-20,62140,62950,61240,61330,1296200,VNM
2022-05-23,61690,61870,59620,59700,2022200,VNM
2022-05-24,60060,62040,59890,62040,2033000,VNM
2022-05-25,62040,65110,62040,64739,2362100,VNM
2022-05-26,64739,64739,63670,64209,1530800,VNM
2022-05-27,64209,66010,63670,65740,3456900,VNM
2022-05-30,65650,65650,64840,65290,2124400,VNM
2022-05-31,64930,65200,64569,64569,2058700,VNM
2022-06-01,64390,65379,64209,64739,1229600,VNM
2022-06-02,64840,64840,63770,64030,1487800,VNM
2022-06-03,63930,64209,63030,63300,1052800,VNM
2022-06-06,63220,64110,63030,63770,1432000,VNM
